"","Nutrients","TP","emmean","SE","df","lower.CL","upper.CL",".group"
"3","HN","T2",0.317245136752769,0.0655043411013504,4.34726635120375,0.140964667670008,0.493525605835529," 1  "
"4","LN","T2",0.474388603620232,0.0654728700803439,4.34487568626823,0.29815829487985,0.650618912360614,"  2 "
"1","HN","T1",0.553160926226452,0.0655043411013504,4.34726635120373,0.376880457143691,0.729441395309212,"  2 "
"2","LN","T1",0.710304393093915,0.0654728700803439,4.34487568626822,0.534074084353533,0.886534701834298,"   3"
