Fragment,Date.1,X.1,Rep.1,BW.1,AW_kelsey.1,Notes.1,Date.2,X.2,Rep.2,BW.2,AW_kelsey.2,Notes.2,Date.3,X.3,Rep.3,BW.3,AW_kelsey.3,Notes.3,Date.4,X.4,Rep.4,BW.4,AW_kelsey.4,Notes.4,Date.5,X.5,Rep.5,BW.5,AW_kelsey.5,Notes.5,Date.6,X.6,Rep.6,BW.6,AW_kelsey.6,Notes.6,Date.7,X.7,Rep.7,BW.7,AW_kelsey.7,Notes.7,Date.8,X.8,Rep.8,BW.8,AW_kelsey.8,Notes.8,Date.9,X.9,Rep.9,BW.9,AW_kelsey.9,Notes.9,Date.10,X.10,Rep.10,BW.10,AW_kelsey.10,Notes.10
100W,10/4/19,NA,NA,5.193,9.708624738,,10/10/19,NA,Top,5.296,9.89686727,,10/17/19,NA,Top,5.388,10.06207108,,10/24/19,NA,Top,5.633,10.52229949,,11/4/19,NA,Top,5.981,11.16991689,,11/17/19,NA,Top,6.285,11.74969912,,11/22/19,NA,Top,6.416,7.357099055,,12/5/19,NA,Top,6.884,12.86891281,,12/12/19,NA,Top,7.213,13.48625296,,12/19/19,NA,Top,7.586,14.17895532,
103W,10/4/19,NA,NA,4.84,9.047501256,,10/10/19,NA,Top,4.963,9.274575578,,10/17/19,NA,Top,5.201,9.711860846,,10/24/19,NA,Top,5.417,10.11881703,,11/4/19,NA,Top,5.848,10.92209911,,11/17/19,NA,Top,6.379,11.9254305,,11/21/19,NA,Top,6.558,7.520307064,,12/5/19,NA,Top,7.327,13.69779012,,12/12/19,NA,Top,7.772,14.53334964,,12/19/19,NA,Top,8.245,15.41068898,
104W,10/4/19,NA,NA,6.111,11.42604801,,10/10/19,NA,Top,6.307,11.78616727,,10/17/19,NA,Top,6.574,12.27472719,,10/24/19,NA,Top,6.838,12.77187009,,11/4/19,NA,Top,7.401,13.82222196,,11/14/19,NA,Control,7.759,14.50702847,,11/22/19,NA,Control,8.098,9.286225217,,12/6/19,NA,Control,8.647,16.17398161,,12/13/19,NA,Control,8.899,16.6286225,,12/19/19,NA,Control,9.056,16.93095051,
105W,10/4/19,NA,NA,4.714,8.81310553,,10/10/19,NA,Top,4.865,9.091204495,,10/17/19,NA,Top,5.018,9.371097377,,10/24/19,NA,Top,5.295,9.889887705,,11/4/19,NA,Top,5.75,10.73850896,,11/17/19,NA,Top,6.295,11.76839394,,11/22/19,NA,Top,6.53,7.487820578,,12/5/19,NA,Top,7.258,13.5643726,,12/12/19,NA,Top,7.688,14.37475038,,12/19/19,NA,Top,8.168,15.26267991,
106W,10/4/19,NA,NA,5.346,9.993635884,,10/10/19,NA,Top,5.528,10.33041584,,10/17/19,NA,Top,5.684,10.61485004,,10/24/19,NA,Top,5.986,11.18052272,,11/4/19,NA,Top,6.472,12.08689218,,11/17/19,NA,Top,7.085,13.24528532,,11/22/19,NA,Top,7.314,8.386817719,,12/5/19,NA,Top,8,14.95555923,,12/12/19,NA,Top,8.291,15.50221844,,12/19/19,NA,Top,8.661,16.18520839,
107W,10/4/19,NA,NA,8.72,16.30088008,,10/10/19,NA,Top,8.959,16.74164462,,10/17/19,NA,Top,9.18,17.14361776,,10/24/19,NA,Top,9.553,17.84241865,,11/4/19,NA,Top,10.097,18.85731322,,11/17/19,NA,Top,10.818,20.22406445,,11/21/19,NA,Top,11.054,12.6760406,,12/5/19,NA,Top,12.004,22.43595171,,12/12/19,NA,Top,12.411,23.20688045,,12/19/19,NA,Top,12.853,24.01769538,
108W,10/4/19,NA,NA,3.608,6.74467607,,10/10/19,NA,Top,3.679,6.875108513,,10/17/19,NA,Top,3.808,7.110702961,,10/24/19,NA,Top,3.948,7.373989926,,11/4/19,NA,Top,4.269,7.972642567,,11/17/19,NA,Top,4.643,8.680008433,,11/21/19,NA,Top,4.754,5.451568675,,12/5/19,NA,Top,5.208,9.735018604,,12/12/19,NA,Top,5.402,10.10019943,,12/19/19,NA,Top,5.611,10.48637698,
109R,10/4/19,NA,NA,8.92,16.67475348,,10/10/19,NA,Top,9.174,17.14297146,,10/17/19,NA,Top,9.411,17.573221,,10/24/19,NA,Top,9.753,18.21644472,,11/4/19,NA,Top,10.028,18.72844775,,11/17/19,NA,Top,10.772,20.13806824,,11/21/19,NA,Top,11.005,12.61985045,,12/5/19,NA,Top,9.928,18.56084324,,12/12/19,NA,Top,10.33,19.31518173,,12/19/19,NA,Top,10.778,20.14350164,
10B,10/4/19,NA,NA,8.142,15.21959455,,10/10/19,NA,Bottom,8.21,15.34079996,,10/17/19,NA,Bottom,8.392,15.66760546,,10/24/19,NA,Bottom,8.467,15.81777983,,11/1/19,NA,Top,8.881,16.57669864,,11/17/19,NA,Bottom,9.441,17.65209318,,11/21/19,NA,Bottom,9.631,11.04399594,,12/6/19,NA,Bottom,10.506,19.65068283,,12/12/19,NA,Bottom,10.931,20.43785264,,12/19/19,NA,Bottom,11.534,21.56377907,
10W,10/4/19,NA,NA,5.245,9.804575224,,10/10/19,NA,Top,5.332,9.963885378,,10/17/19,NA,Top,5.558,10.37848925,,10/24/19,NA,Top,5.636,10.52652272,,11/4/19,NA,Top,5.942,11.09708178,,11/17/19,NA,Top,6.237,11.65996394,,11/21/19,NA,Top,6.347,7.278314342,,12/5/19,NA,Top,6.498,12.14667114,,12/12/19,NA,Top,6.734,12.59099493,,12/19/19,NA,Top,7.004,13.08869641,
111W,10/4/19,NA,NA,6.454,12.06613982,,10/10/19,NA,Top,6.608,12.34834107,,10/17/19,NA,Top,6.816,12.72821008,,10/24/19,NA,Top,7.113,13.285159,,11/4/19,NA,Top,7.597,14.18827459,,11/17/19,NA,Top,8.182,15.2961079,,11/21/19,NA,Top,8.373,9.601595397,,12/5/19,NA,Top,9.191,17.17740129,,12/12/19,NA,Top,9.623,17.99322302,,12/19/19,NA,Top,10.126,18.92138796,
112W,10/4/19,NA,NA,5.846,10.92944738,,10/10/19,NA,Top,5.986,11.18543388,,10/17/19,NA,Top,6.172,11.52501541,,10/24/19,NA,Top,6.377,11.90987995,,11/4/19,NA,Top,6.793,12.68671177,,11/14/19,NA,Control,7.053,13.1873534,,11/25/19,NA,Control,7.275,8.341699008,,12/6/19,NA,Control,7.56,14.14150622,,12/13/19,NA,Control,7.753,14.4872132,,12/19/19,NA,Control,7.904,14.77719002,
